Date,Open,High,Low,Close,Volume
12-05-2023,18273.75,18342.75,18194.55078,18314.80078,241700
15-05-2023,18339.30078,18458.90039,18287.90039,18398.84961,216100
16-05-2023,18432.34961,18432.34961,18264.34961,18286.5,219500
17-05-2023,18300.44922,18309,18115.34961,18181.75,229900
18-05-2023,18287.5,18297.19922,18104.84961,18129.94922,272100
19-05-2023,18186.15039,18218.09961,18060.40039,18203.40039,260900
22-05-2023,18201.09961,18335.25,18178.84961,18314.40039,262600
23-05-2023,18362.90039,18419.75,18324.19922,18348,270400
24-05-2023,18294.80078,18392.59961,18262.94922,18285.40039,232600
25-05-2023,18268.90039,18338.09961,18202.40039,18321.15039,235900
26-05-2023,18368.34961,18508.55078,18333.15039,18499.34961,198700
29-05-2023,18619.15039,18641.19922,18581.25,18598.65039,265300
30-05-2023,18606.65039,18662.44922,18575.5,18633.84961,234400
31-05-2023,18594.19922,18603.90039,18483.84961,18534.40039,696500
01-06-2023,18579.40039,18580.30078,18464.55078,18487.75,265600
02-06-2023,18550.84961,18573.69922,18478.40039,18534.09961,270900
05-06-2023,18612,18640.15039,18582.80078,18593.84961,256100
06-06-2023,18600.80078,18622.75,18531.59961,18599,220800
07-06-2023,18665.59961,18738.94922,18636,18726.40039,260100
08-06-2023,18725.34961,18777.90039,18615.59961,18634.55078,286500
09-06-2023,18655.90039,18676.65039,18555.40039,18563.40039,221800
12-06-2023,18595.05078,18633.59961,18559.75,18601.5,179500
13-06-2023,18631.80078,18728.90039,18631.80078,18716.15039,233200
14-06-2023,18744.59961,18769.69922,18690,18755.90039,261400
15-06-2023,18774.44922,18794.09961,18669.05078,18688.09961,263000
16-06-2023,18723.30078,18864.69922,18710.5,18826,272800
19-06-2023,18873.30078,18881.44922,18719.15039,18755.44922,219800
20-06-2023,18752.34961,18839.69922,18660.65039,18816.69922,211600
21-06-2023,18849.40039,18875.90039,18794.84961,18856.84961,217500
22-06-2023,18853.59961,18886.59961,18759.5,18771.25,252700
23-06-2023,18741.84961,18756.40039,18647.09961,18665.5,210600
26-06-2023,18682.34961,18722.05078,18646.69922,18691.19922,171300
27-06-2023,18748.55078,18829.25,18714.25,18817.40039,222500
28-06-2023,18908.15039,19011.25,18861.34961,18972.09961,398800
30-06-2023,19076.84961,19201.69922,19024.59961,19189.05078,247900
03-07-2023,19246.5,19345.09961,19234.40039,19322.55078,226100
04-07-2023,19406.59961,19434.15039,19300,19389,226900
05-07-2023,19405.94922,19421.59961,19339.59961,19398.5,224400
06-07-2023,19385.69922,19512.19922,19373,19497.30078,268300
07-07-2023,19422.80078,19523.59961,19303.59961,19331.80078,237100
10-07-2023,19400.34961,19435.84961,19327.09961,19355.90039,268200
11-07-2023,19427.09961,19515.09961,19406.44922,19439.40039,251300
12-07-2023,19497.44922,19507.69922,19361.75,19384.30078,327900
13-07-2023,19495.19922,19567,19385.80078,19413.75,310400
14-07-2023,19493.44922,19595.34961,19433.5,19564.5,291200
17-07-2023,19612.15039,19731.84961,19562.94922,19711.44922,268700
18-07-2023,19787.5,19819.44922,19690.19922,19749.25,286400
19-07-2023,19802.94922,19851.69922,19727.44922,19833.15039,259700
20-07-2023,19831.69922,19991.84961,19758.40039,19979.15039,274700
21-07-2023,19800.44922,19887.40039,19700,19745,312500
24-07-2023,19748.44922,19782.75,19658.30078,19672.34961,265600
25-07-2023,19729.34961,19729.34961,19615.94922,19680.59961,369700
26-07-2023,19733.34961,19825.59961,19716.69922,19778.30078,244700
27-07-2023,19850.90039,19867.55078,19603.55078,19659.90039,334900
28-07-2023,19659.75,19695.90039,19563.09961,19646.05078,258700
31-07-2023,19666.34961,19772.75,19597.59961,19753.80078,295100
01-08-2023,19784,19795.59961,19704.59961,19733.55078,298000
02-08-2023,19655.40039,19678.25,19423.55078,19526.55078,290700
03-08-2023,19463.75,19537.65039,19296.44922,19381.65039,315700
04-08-2023,19462.80078,19538.84961,19436.44922,19517,280800
07-08-2023,19576.84961,19620.44922,19524.80078,19597.30078,216600
08-08-2023,19627.19922,19634.40039,19533.09961,19570.84961,260300
09-08-2023,19578.80078,19645.5,19467.5,19632.55078,266500
10-08-2023,19605.55078,19623.59961,19495.40039,19543.09961,312200
11-08-2023,19554.25,19557.75,19412.75,19428.30078,235500
14-08-2023,19383.94922,19465.84961,19257.90039,19434.55078,243900
16-08-2023,19369,19482.75,19317.19922,19465,0
17-08-2023,19450.55078,19461.55078,19326.25,19365.25,268700
18-08-2023,19301.75,19373.80078,19253.59961,19310.15039,256100
21-08-2023,19320.65039,19425.94922,19296.30078,19393.59961,262600
22-08-2023,19417.09961,19443.5,19381.30078,19396.44922,208700
23-08-2023,19439.19922,19472.05078,19366.59961,19444,225200
24-08-2023,19535.15039,19584.44922,19369,19386.69922,268300
25-08-2023,19297.40039,19339.55078,19229.69922,19265.80078,466500
28-08-2023,19298.34961,19366.84961,19249.69922,19306.05078,248200
29-08-2023,19374.84961,19377.90039,19309.09961,19342.65039,307400
30-08-2023,19433.44922,19452.80078,19334.75,19347.44922,233000
31-08-2023,19375.55078,19388.19922,19223.65039,19253.80078,562600
01-09-2023,19258.15039,19458.55078,19255.69922,19435.30078,333000
04-09-2023,19525.05078,19545.15039,19432.84961,19528.80078,296800
05-09-2023,19564.65039,19587.05078,19525.75,19574.90039,256800
06-09-2023,19581.19922,19636.44922,19491.5,19611.05078,287600
07-09-2023,19598.65039,19737,19550.05078,19727.05078,304900
08-09-2023,19774.80078,19867.15039,19727.05078,19819.94922,288100
11-09-2023,19890,20008.15039,19865.34961,19996.34961,248800
12-09-2023,20110.15039,20110.34961,19914.65039,19993.19922,328100
13-09-2023,19989.5,20096.90039,19944.09961,20070,251400
14-09-2023,20127.94922,20167.65039,20043.44922,20103.09961,275100
15-09-2023,20156.44922,20222.44922,20129.69922,20192.34961,438200
18-09-2023,20155.94922,20195.34961,20115.69922,20133.30078,264900
20-09-2023,19980.75,20050.65039,19878.84961,19901.40039,378100
21-09-2023,19840.55078,19848.75,19709.94922,19742.34961,275100
22-09-2023,19744.84961,19798.65039,19657.5,19674.25,246400
25-09-2023,19678.19922,19734.15039,19601.55078,19674.55078,188400
26-09-2023,19682.80078,19699.34961,19637.44922,19664.69922,204900
